Company,Code,Group
Cancer Research UK,349084,Charities
British Heart Foundation,473264,Charities
Sightsavers International,37490,Charities
Macmillan Cancer Support,430245,Charities
Oxfam GB,35565,Charities
Royal National Lifeboat Institution,464035,Charities
Salvation Army,2965,Charities
British Red Cross Society,36982,Charities
Royal Society for the Prevention of Cruelty to Animals,37172,Charities
Save the Children,2275419,Charities
NSPCC,764680,Charities
Guide Dogs for the Blind Association,1051490,Charities
Marie Curie Cancer Care,763951,Charities
Royal British Legion,791234,Charities
Dogs Trust,1076710,Charities
Royal Society for the Protection of Birds,642607,Charities
Great Ormond Street Hospital Children's Charity,2332557,Charities
PDSA,242009,Charities
Royal National Institute of Blind People,454160,Charities
National Trust,37627,Charities
Alzheimer's Society,804679,Charities
Islamic Relief Worldwide,539545,Charities
Christian Aid,675846,Charities
Cats Protection,682767,Charities
WaterAid,582352,Charities
Prince's Trust,35861,Charities
Tearfund,763978,Charities
World Vision UK,18839,Charities
Age UK,412849,Charities
Shelter,1096857,Charities
International Planned Parenthood Federation,543670,Charities
Barnardo's,36996,Charities
Scope,1068113,Charities
ActionAid,339471,Charities
Woodland Trust,983444,Charities
Battersea Dogs & Cats Home,765229,Charities
Donkey Sanctuary,962949,Charities
Parkinson's Disease Society of the United Kingdom,668501,Charities
Plan International UK,547681,Charities
Help for Heroes,1524426,Charities
Diabetes UK,1171016,Charities
World Society for the Protection of Animals,418885,Charities
Blue Cross (Incorporating Our Dumb Friends League),1087212,Charities
Crisis,1539929,Charities
Stroke Association,804670,Charities
CLIC Sargent Cancer Care for Children,384312,Charities
National Deaf Children's Society,762409,Charities
Blind Veterans UK,477727,Charities
Prostate Cancer UK,814750,Charities
Alzheimer's Research UK,960989,Charities
Brooke Hospital for Animals,1086107,Charities
Arthritis Research UK,764255,Charities
Royal Marsden Cancer Charity,921710,Charities
National Trust for Scotland,947451,Charities
ABF The Soldiers Charity,768616,Charities
Action for Children,426375,Charities
Motor Neurone Disease Association,1627025,Charities
Amnesty International UK Section Charitable Trust,14709,Charities
Maggie Keswick Jencks Cancer Caring Centres Trust,816264,Charities
Teenage Cancer Trust,595663,Charities
Bloodwise,1535670,Charities
Smiths Group PLC,10234,PLCs
RSA Insurance Group PLC,6528,PLCs
Bunzl plc,10133,PLCs
Linklaters LLP,13090,PLCs
Easyjet PLC,8754,PLCs
Coats Ltd,10301,PLCs
Subsea 7 Senior Holdings Uk Ltd,15168,PLCs
John Swire & Sons Ltd,13487,PLCs
Premier Oil PLC,10213,PLCs
Tullow Oil PLC,10631,PLCs
Burberry Group PLC,13011,PLCs
Royal London Mutual Insurance Society Ltd,12432,PLCs
Greene King Brewing and Retailing Ltd,10160,PLCs
Scottish Equitable Holdings Ltd,37203,PLCs
Cineworld Group PLC,686139,PLCs
WM Morrison Supermarkets PLC,10276,PLCs
British Land Company PLC,10847,PLCs
Anglian Water Services Ltd,37478,PLCs
JD Sports Fashion PLC,13180,PLCs
DS Smith PLC,10142,PLCs
Dixons Carphone PLC,856581,PLCs
London Underground Ltd,36810,PLCs
John Laing Group PLC,10289,PLCs
Edwards Ltd,271182,PLCs
Post Office Ltd,252213,PLCs
Legal and General,624175,PLCs
Tate & Lyle PLC,3782,PLCs
Reckitt Benckiser Brands Ltd,3600,PLCs
Whitbread PLC,10272,PLCs
Compass Group Holdings PLC,10832,PLCs
Seadrill Partners LLC,929322,PLCs
Asda Stores Ltd,10108,PLCs
Premier Inn Hotels Ltd,37496,PLCs
Bradford & Bingley PLC,9267,PLCs
Wessex Water Ltd,10270,PLCs
Mitchells & Butlers PLC,16140,PLCs
TSB Bank PLC,796476,PLCs
London Stock Exchange PLC,11860,PLCs
M & G Securities Ltd,36436,PLCs
Harrods Ltd,6059,PLCs
United Biscuits (UK) Ltd,2525877,PLCs
Chubb European Group PLC,2228603,PLCs
Rightmove PLC,39764,PLCs
Screwfix Direct Ltd,631797,PLCs
Coutts & Co,14652,PLCs
Center Parcs 1 Hldg Ltd,35391,PLCs
St. James's Place UK PLC,10244,PLCs
NATS (En Route) PLC,27974,PLCs
Royal Mail PLC,10911,PLCs
Imperial Tobacco Ltd,6425,PLCs
Tui Airways Ltd,950367,PLCs
BOC Ltd,763743,PLCs
Balfour Beatty PLC,10135,PLCs
Bupa Insurance Ltd,11616,PLCs
Yum Restaurant Holdings,6995,PLCs
Pinsent Masons International LLP,36071,PLCs
Qinetiq Group PLC,12797,PLCs
Gatwick Airport Ltd,665397,PLCs
HomeServe PLC,10901,PLCs
Booker Ltd,10121,PLCs
Kier Group PLC,11989,PLCs
Experian Ltd,42406,PLCs
De La Rue PLC,10145,PLCs
J D Wetherspoon PLC,10905,PLCs
Cobham PLC,8584,PLCs
Just Eat PLC,490124,PLCs
B&Q PLC,22546,PLCs
Moneysupermarket.Com Group PLC,33122,PLCs
Arrow Global Group PLC,999654,PLCs
Savills PLC,24835,PLCs
Auto Trader Holding Ltd,505215,PLCs
3i PLC,5365,PLCs
Simmons & Simmons LLP,36924,PLCs
Froneri International Ltd,1884373,PLCs
New Look Retailers Ltd,9034,PLCs
Pets at Home Group PLC,33061,PLCs
RAC Motoring Services,1636429,PLCs
Greggs PLC,10161,PLCs
Unum Ltd,9522,PLCs
Moy Park Ltd,35840,PLCs
Arup Group Ltd,31809,PLCs
Premier Foods Group Ltd,23704,PLCs
Kwik-Fit Euro Ltd,10290,PLCs
Graff Diamonds Ltd,440042,PLCs
Drax Group PLC,37485,PLCs
