Var1,n
staff,627
management,626
people,386
pay,300
organisation,224
time,220
job,215
senior,209
managers,180
charity,171
employees,152
hours,151
team,145
change,138
support,137
money,136
hard,128
leadership,125
senior-management,125
career,121
office,120
progression,108
culture,106
difficult,100
salary,99
times,99
paid,97
hr,96
bullying,94
manager,92
training,92
opportunities,90
day,87
experience,85
level,84
feel,82
environment,78
care,74
development,71
turnover,69
organization,67
shop,66
structure,66
slow,65
teams,64
benefits,63
expected,63
low-pay,63
communication,62
volunteers,58
decisions,56
roles,55
growth,54
internal,54
progress,53
issues,52
pressure,52
days,50
lower,50
process,49
ceo,48
head,48
opportunity,48
processes,48
department,47
politics,46
sector,46
leave,45
line,45
career-progression,45
jobs,44
role,44
salaries,44
busy,43
de,43
extremely,43
focus,43
skills,43
employee,42
fundraising,42
resources,42
service,42
constant,41
decision,41
officers,41
run,41
systems,41
targets,41
poor-management,41
london,39
customers,38
life,38
positions,38
colleagues,37
corporate,37
middle,37
morale,37
"
",36
business,36
departments,36
months,36
stressful,36
head-office,36
bureaucratic,35
amount,34
health,34
manage,34
move,34
trust,34
week,34
army,33
balance,33
personal,33
projects,33
services,33
told,33
expect,32
position,32
store,32
upper,32
workers,32
workload,32
constantly,31
fit,31
system,31
funding,30
managed,30
negative,30
set,30
takes,30
chance,29
direction,29
extra,29
levels,29
means,29
treated,29
hierarchical,28
meetings,28
person,28
policies,28
short,28
upper-management,28
completely,27
directors,27
donations,27
flexible,27
hour,27
leaving,27
salvation,27
wage,27
salvation-army,27
advancement,26
arent,26
atmosphere,26
moving,26
respect,26
restructure,26
restructures,26
strategy,26
low-salary,26
challenging,25
location,25
poorly,25
professional,25
spent,25
vision,25
wages,25
whilst,25
incompetent,24
quality,24
rude,24
treat,24
values,24
wrong,24
awful,23
break,23
family,23
home,23
ideas,23
lead,23
nonprofit,23
performance,23
profit,23
public,23
restructuring,23
result,23
volunteer,23
senior-leadership,23
allowed,22
approach,22
boring,22
changing,22
conditions,22
don’t,22
expectations,22
feels,22
late,22
meet,22
meeting,22
promotion,22
tasks,22
understand,22
absolutely,21
board,21
bureaucracy,21
cost,21
director,21
executive,21
front,21
leaders,21
local,21
lost,21
macmillan,21
minimum,21
overtime,21
security,21
stay,21
toxic,21
building,20
deal,20
diversity,20
feeling,20
fired,20
impossible,20
issue,20
love,20
makes,20
rules,20
stress,20
staff-turnover,20
breaks,19
clients,19
current,19
financial,19
found,19
improve,19
listen,19
major,19
minimal,19
rate,19
required,19
start,19
strategic,19
terms,19
travel,19
understaffed,19
unrealistic,19
senior-managers,19
behaviour,18
blame,18
cliquey,18
community,18
compared,18
competitive,18
customer,18
daily,18
experienced,18
hire,18
horrible,18
it’s,18
nice,18
offices,18
organisations,18
period,18
practices,18
red,18
sense,18
style,18
wasnt,18
waste,18
wont,18
youll,18
ability,17
complaints,17
complete,17
idea,17
leading,17
mental,17
organisational,17
reality,17
responsibility,17
sales,17
shifts,17
sick,17
size,17
space,17
struggle,17
talk,17
tight,17
unpaid,17
management-team,17
middle-management,17
poor-pay,17
attitude,16
budget,16
chaotic,16
contracts,16
cover,16
field,16
floor,16
frustrating,16
funds,16
helping,16
human,16
increase,16
led,16
massive,16
planning,16
political,16
positive,16
power,16
quickly,16
reviews,16
shops,16
understanding,16
weather,16
life-balance,16
cold,15
compensation,15
cut,15
fast,15
fits,15
future,15
impact,15
information,15
nepotism,15
oxfam,15
programs,15
purpose,15
recent,15
shift,15
specific,15
technology,15
unable,15
valued,15
wasted,15
workplace,15
worth,15
career-development,15
management-lack,15
mental-health,15
red-tape,15
brand,14
call,14
causing,14
centre,14
changed,14
children,14
church,14
consultants,14
country,14
dogs,14
external,14
fairly,14
favouritism,14
fear,14
focused,14
frontline,14
happy,14
highly,14
hot,14
knowledge,14
lunch,14
matter,14
mind,14
national,14
nature,14
overworked,14
prepared,14
project,14
raises,14
recognition,14
requires,14
resulting,14
retail,14
running,14
taking,14
tape,14
term,14
till,14
touch,14
wellbeing,14
world,14
you’re,14
poor-communication,14
accountability,13
admin,13
challenges,13
concerns,13
couple,13
deliver,13
disorganised,13
downsides,13
easy,13
expensive,13
forward,13
frequent,13
improvement,13
incredibly,13
la,13
moment,13
notice,13
plan,13
potential,13
priorities,13
promoted,13
quiet,13
receive,13
recruitment,13
redundant,13
regional,13
related,13
repetitive,13
responsibilities,13
results,13
silo,13
spend,13
strong,13
talent,13
uk,13
unnecessary,13
weak,13
worklife,13
minimum-wage,13
paid-staff,13
senior-staff,13
average,12
badly,12
blind,12
bully,12
cancer,12
challenge,12
companies,12
concerned,12
control,12
develop,12
employment,12
encouraged,12
food,12
global,12
ground,12
grow,12
guidance,12
happen,12
hierarchy,12
hit,12
im,12
including,12
individual,12
individuals,12
inefficient,12
international,12
isn’t,12
live,12
living,12
load,12
multiple,12
offer,12
officer,12
policy,12
proper,12
properly,12
raised,12
rates,12
recently,12
review,12
risk,12
sign,12
similar,12
speak,12
stand,12
standards,12
started,12
status,12
structures,12
target,12
theyre,12
tough,12
underpaid,12
charity-sector,12
development-opportunities,12
front-line,12
job-security,12
leadership-team,12
poor-leadership,12
staff-morale,12
worklife-balance,12
achieve,11
actual,11
benefit,11
christian,11
class,11
close,11
clueless,11
coming,11
complex,11
consideration,11
contractors,11
coworkers,11
delivery,11
depending,11
disorganized,11
door,11
driven,11
feet,11
flexibility,11
friends,11
