company,date,rating,pros,cons,type,id,year,date2
ABF The Soldiers Charity,"Nov 19, 2018",2,"Being able to volunteer at the Yomp
Travel paid for (but only for those in HQ)","Senior staff have no understanding of how to manage civillians
Cliquey staff
High Turnover
Undervalue staff
Disregard for morale
Expect staff to do extra higher level work for no extra pay
High turnover
Zero consistency on flexible working hours - one rule for managers and another for everyone else",Charities,1,2018,2018-11-19
Action for Children,"Feb 14, 2017",4,Great Company to work for.,My positions security depends on funding.,Charities,8,2017,2017-02-14
Action for Children,"May 1, 2017",3,"Flexible working hours, hardworking staff",Poor wages and lack of people skills from senior management.,Charities,9,2017,2017-05-01
Action for Children,"Oct 19, 2017",4,"Decent entry level pay
Generally good management
Lots of opportunity for professional development through training courses (in-house and out)",Some staff less productive than others,Charities,10,2017,2017-10-19
Action for Children,"Oct 21, 2017",4,Rewarding work which is enjoyable.,Training can be monotonous at times.,Charities,11,2017,2017-10-21
Action for Children,"Nov 13, 2017",3,"Great office
Good opportunities and flexibility, dependent on manager
Some really dedicated, good people with lots of experiences
A ~150 year old heavyweight in the sector","Constant restructuring
Well-meaning but deaf/oblivious middle management
Unclear prognosis over the next few years
Terrible inter-departmental communication",Charities,12,2017,2017-11-13
Action for Children,"Dec 13, 2017",3,"Good salary, working conditions, friendly team","Management not willing to uphold company policies, cronyism",Charities,13,2017,2017-12-13
Action for Children,"Mar 20, 2018",5,This is a well managed business with lovely people,The funding is limited so they need more,Charities,14,2018,2018-03-20
Action for Children,"Apr 17, 2018",3,Good work life/home life balance,"re-structure has made people fear for their jobs, souring the atmosphere.",Charities,15,2018,2018-04-17
Action for Children,"Jul 15, 2018",2,Give you training and you can complete diploma Level 3.,To much fevortism and lack off organisations.,Charities,16,2018,2018-07-15
Action for Children,"Sep 19, 2018",3,Nice people and good services,Structural challenges and low brand awareness,Charities,17,2018,2018-09-19
Action for Children,"Sep 21, 2018",5,"Benefits are fab- holidays are best in voluntary sector, flexible working arrangements and working from home options really so help me as a working parent.",Challenging commissioning environment with funds for service reducing,Charities,18,2018,2018-09-21
Action for Children,"Sep 21, 2018",4,"There is a big emphasis on work life balance and well-being and with the majority of the staff working directly with children, there is a really strong focus on doing the best for children and families. Senior managers are approachable and have a genuine desire to listen and learn from other colleagues.",Sometimes the pace of change to make things happen can be slowed down by too much process,Charities,19,2018,2018-09-21
Action for Children,"Sep 21, 2018",5,"Leadership are driving positive change 
Great colleagues and culture 
Good progression opportunities 
Leadership open to hearing opinions and challenge from more junior staff 
Good work recognised","Big organisation takes a while to get to grips with it. 
Loads going on, but could maybe have more impact with more focus",Charities,20,2018,2018-09-21
Action for Children,"Sep 24, 2018",3,"They obviously care for what they do with children and young families and have some good values
Overall good morale and team spirit
Work life balance with being able to work remotely and flexibly
Generous amount of annual leave and above average pension scheme","Very bureaucratic in the sense of getting some things done and the senior levels some decisions need to be escalated to. Managers should be able to manage within their remit
Clearly over-resourced at head office level for an organisation of this size with the number of Directors, Senior Managers/Heads of and support staff. Some of these people also need to move on as have been there far too long but there are elements...",Charities,21,2018,2018-09-24
Action for Children,"Sep 25, 2018",5,"Fantastic use of technology to enable homeworking.
A really positive ethos with a welcoming atmosphere
Real empowerment of staff and lack of micromanagement
Clear and reasonable objectives
A genuine sense of inclusion, diversity and flexibility",As a result of the size and structure of the organisation sometimes things are slow moving,Charities,22,2018,2018-09-25
Action for Children,"Sep 25, 2018",5,"Welcoming environment
Supportive team to work with
Good work life balance
Detailed induction
A place where you can make a difference","Complex organisation which take a while to understand
Processes and policies need more straight forward and easier to understand",Charities,23,2018,2018-09-25
Action for Children,"Oct 4, 2018",5,"Makes a difference for children and young people.
Friendly, open and inclusive.",too many e-mails and too many priorities,Charities,24,2018,2018-10-04
Action for Children,"Oct 5, 2018",4,"- fantastic and supportive team
- strong ethos and values
- excellent staff benefits (for the sector) 
- continuously striving to improve","- fast paced and reactive at times
- restricted resources",Charities,25,2018,2018-10-05
Action for Children,"Oct 15, 2018",4,Action for Children really cares for its staff; as a voluntary sector employer there isn't always the money to do the fancy things but managers do care and there is great team spirit.,It can be an uncertain environment in these times of austerity - but even that seems to be the norm nowadays!,Charities,26,2018,2018-10-15
Action for Children,"Oct 16, 2018",4,The staff across the organisation are inspiring and the projects deliver amazing services to children and young people.,Communication across 4 nations can be challenging.  Tries to apply a 'one size fits all' approach to processes and systems across 4 nations.,Charities,27,2018,2018-10-16
Action for Children,"Nov 2, 2018",4,Passionate about what we do and care about staff,spread ourselves to thinly and as such lose focus,Charities,28,2018,2018-11-02
Action for Children,"Nov 13, 2018",4,The work they do is changing lives and everybody is very committed to the values of the charity. Amazing supporters.,Quiet work environment and not many opportunity to progress.,Charities,29,2018,2018-11-13
Action for Children,"Dec 17, 2018",3,"Sociable people 
Amazing front line staff","lack of engagement with management 
Felt more like a business than a charity 
Not enough interaction with front line staff",Charities,30,2018,2018-12-17
Action for Children,"Jan 9, 2019",4,"Training, policies, management support,  culture. Good staff team","No job security, not very many opportunities to move up the ladder",Charities,31,2019,2019-01-09
Action for Children,"Mar 7, 2019",1,"Project colleagues, working with great young people",Awful support services/helpdesk at head office.  Run as a corporate business not a charity.,Charities,32,2019,2019-03-07
Action for Children,"Mar 19, 2019",3,Lovely people and open space office,"No long term future in that charity, it cant keep up with the other big charities and will downsize in the future.",Charities,33,2019,2019-03-19
Action for Children,"Apr 2, 2019",2,Flexible working is a bonus,"Not enough support for home workers, too many restructures , London centric, too many well paid manufactured jobs designed to retain favourites that could easily pay for two support workers, donations not spent in the area intended.",Charities,34,2019,2019-04-02
Action for Children,"May 15, 2019",5,Action for Children has a lot of benefits. The managers are very supportive and understanding. They support staff through training to further their profession.,Depending on where you live you may need to travel a distance for training. However this is not a major negative as they will cover travel costs and hotel costs if required to stay over night.,Charities,35,2019,2019-05-15
Action for Children,"May 20, 2019",5,"Great benefits package, ample opportunities to progress",Not experienced whilst working here,Charities,36,2019,2019-05-20
Action for Children,"Jun 7, 2019",3,Lovely committed team of people,Low.pay with no career progression,Charities,37,2019,2019-06-07
Action for Children,"Jun 22, 2019",4,Good managers that are very supportive,Some policies need to be overhauled,Charities,38,2019,2019-06-22
Action for Children,"Jul 2, 2019",5,Great working environment and lots to learn,Sometimes communication between Management and lower level staff is not the best,Charities,39,2019,2019-07-02
ActionAid,"Jan 26, 2017",3,"Love to work for International Organizations, like ActionAid International.",It becomes stressful at times cause I sometimes work at odd hours to get day's job completed...,Charities,71,2017,2017-01-26
ActionAid,"Jan 30, 2017",4,Dedicated colleagues around the world.,Challenging to make things move quickly as a big global organisation.,Charities,72,2017,2017-01-30
ActionAid,"Feb 12, 2017",4,"Amazing work culture, transparent, best place to work.",Appointing wrong people at the wrong time and position,Charities,73,2017,2017-02-12
ActionAid,"Feb 22, 2017",4,I worked for ActionAid International and enjoyed working for a brilliant cause and with inspiring people from all around the world.,There were lots of changes and restructuring while I was there in the international secretariat which caused low staff morale. I think this is resolved now though.,Charities,74,2017,2017-02-22
ActionAid,"Mar 20, 2017",3,A lot of room for learning,You need to be up to speed on your own because there isn't anyone to help you all the time.,Charities,75,2017,2017-03-20
ActionAid,"Apr 2, 2017",4,Great place to work in. Extremely employee friendly. Great policies for women staff.,slow on promotions. The democratic process of decision making delays the process.,Charities,76,2017,2017-04-02
ActionAid,"Apr 11, 2017",3,"Bom lugar para trabalhar, ambiente de trabalho bem agradável, pessoas dispostas a sanar suas dúvidas, profissionais bem qualificados, existe uma abertura para com a internacional. Rh muito bom e preza pela qualidade de vida","Assim como em toda organização, existe a ""esquerda caviar"", muitos cargos de chefia, você fica perdido: Quem é chefe de quem? De certa forma é algo massante, meritocracia é praticamente nula.",Charities,77,2017,2017-04-11
ActionAid,"Apr 18, 2017",4,"Great place to work based on flat structure
Lots of opportunities for personal development
Fantastic culture as a rights based Organisation
Global Brand",Lots of bureaucratic hurdles to overcome for approvals,Charities,78,2017,2017-04-18
ActionAid,"Aug 16, 2017",4,Right Based International non govt. Organisation,"Fundraising is criticle, but not priority",Charities,79,2017,2017-08-16
ActionAid,"Oct 9, 2017",3,"Great approach, mission and coworkers",Not enough funding  for work,Charities,80,2017,2017-10-09
ActionAid,"Nov 13, 2017",2,"É um trabalho lindo. A ActionAid apoia ONGs menores no Brasil e no mundo e é um trabalho maravilhoso. É gratificante saber que você faz parte de algo maior, de que o seu trabalho gera benefícios e melhorias na vida de milhares de outras pessoas.","Má gestão. Pouco profissionalismo, na verdade nenhum profissionalismo. Ausência de padrões e de organização em diversas áreas. Muito coleguismo e líderes bem ruins atualmente.",Charities,81,2017,2017-11-13
ActionAid,"Nov 26, 2017",1,- Mission driven with dedicated and skilled staff,"- AA International CEO has created a highly political & insular culture of favouritism, & nepotism which disempowers staff. ActionAid is a sinking ship and he is at the helm, clearly scrambling to jump off . He has driven it into the ground, and I would not be surprised if it folds within the next 5 years.
- Awful HR & IT capacity
- Corrosive internal politics - infighting between Directors & Country Directors, with...",Charities,82,2017,2017-11-26
ActionAid,"Dec 7, 2017",2,"Great sense of mission; lots of good, committed and skilled people; the UK section is generally excellent",Disorganised and invisible leadership at international level;,Charities,83,2017,2017-12-07
ActionAid,"Feb 12, 2018",5,"Great working environment, committed to the cause",Mostly has to do with the external environment,Charities,84,2018,2018-02-12
ActionAid,"Mar 5, 2018",2,The work actually done in the beneficiary countries was strong and worthwhile.,"The senior management and trustee board systems are arrogant, inefficient and self-serving.",Charities,85,2018,2018-03-05
ActionAid,"Mar 17, 2018",2,O trabalho que a organização faz é gratificante. A área de recursos humanos é muito inovadora e sempre se preocupa em desenvolver os profissionais da organização se preocupando com o bem estar da equipe.,"A coordenação, principalmente o gestor de captação. Alguns da coordenação precisam passar por uma reciclagem urgente. Muito coleguismo e muita falta de profissionalismo.",Charities,86,2018,2018-03-17
ActionAid,"May 11, 2018",1,"If you are taking an international posting, the salary and benefits are much better than they should be","AAI do not practice what they preach. They have no women on their senior management . They waste money on international meetings . I have been to several meetings where I estimated the cost to be upwards of £60-80,000 each whilst country offices have to make programmes work out of pittance . The quality of their programme work varies from country to country -  being fairly ok in some countries, to legally and morally...",Charities,87,2018,2018-05-11
