Var1,n
people,873
staff,436
friendly,323
team,252
environment,249
nice,226
flexible,195
opportunities,179
colleagues,178
organisation,176
job,175
benefits,165
charity,160
experience,141
passionate,136
management,133
hours,132
helping,127
pay,126
culture,123
time,122
lovely,119
support,118
volunteers,118
life,114
training,111
supportive,110
mission,106
office,102
development,98
difference,98
balance,96
opportunity,94
atmosphere,89
care,87
fun,86
dedicated,85
positive,84
community,80
world,80
feel,79
excellent,78
employees,77
committed,76
rewarding,75
day,74
learn,73
organization,72
life-balance,72
customers,70
coworkers,65
hard,65
lives,64
children,61
skills,61
wonderful,61
manager,58
managers,58
inspiring,56
friendly-staff,56
learning,54
location,53
nice-people,53
easy,52
genuinely,52
love,51
impact,50
home,49
salary,48
values,48
career,47
meet,47
paid,46
role,46
sector,46
cancer,45
shop,45
teams,45
vision,45
family,44
services,44
brilliant,43
de,43
level,43
change,42
days,42
strong,42
talented,42
professional,41
projects,41
service,40
"
",39
decent,39
develop,38
health,38
social,38
leadership,37
caring,36
holiday,36
sense,36
leave,35
senior,35
dogs,34
trust,34
volunteer,34
brand,33
international,33
loved,33
army,32
christian,31
helpful,31
salvation,31
welcoming,31
workers,31
families,30
incredible,30
personal,30
retail,30
worklife,30
salvation-army,30
worklife-balance,30
customer,29
exciting,29
friends,29
holidays,29
passion,29
progression,29
flexible-hours,29
lovely-people,29
flexibility,28
involved,28
line,28
money,28
uk,28
helping-people,28
gain,27
incredibly,27
makes,27
meeting,27
store,27
friendly-people,27
beautiful,26
clients,26
employee,26
field,25
fundraising,25
public,25
worthwhile,25
animals,24
enjoyed,24
genuine,24
pension,24
plenty,24
research,24
schedule,24
supporting,24
variety,24
busy,23
ceo,23
ethos,23
oxfam,23
purpose,23
relaxed,23
amazing-people,23
annual,22
business,22
diverse,22
front,22
growth,22
improve,22
individuals,22
met,22
range,22
varied,22
ability,21
discount,21
driven,21
hardworking,21
head,21
heart,21
helps,21
human,21
innovative,21
local,21
motivated,21
rights,21
world-vision,21
building,20
challenging,20
enjoy,20
events,20
extremely,20
food,20
freedom,20
jobs,20
meaningful,20
offices,20
roles,20
supported,20
annual-leave,20
development-opportunities,20
fast,19
focused,19
salaries,19
satisfaction,19
start,19
travel,19
commitment,18
future,18
including,18
inclusive,18
it’s,18
move,18
peoples,18
policy,18
proud,18
scheme,18
front-line,18
senior-management,18
autonomy,17
communication,17
employer,17
feeling,17
focus,17
ground,17
highly,17
progress,17
provide,17
resources,17
sick,17
week,17
welfare,17
friendly-environment,17
passionate-people,17
peoples-lives,17
real-difference,17
animal,16
cares,16
chance,16
competitive,16
cv,16
departments,16
employment,16
everyday,16
fair,16
faith,16
grow,16
national,16
package,16
programs,16
strategy,16
volunteering,16
head-office,16
human-rights,16
affected,15
ambitious,15
close,15
creative,15
daily,15
giving,15
london,15
lunch,15
macmillan,15
pleasant,15
poverty,15
understanding,15
vacation,15
friendly-colleagues,15
"
good",14
approach,14
collaborative,14
conditions,14
encouraged,14
forward,14
goal,14
majority,14
offer,14
paced,14
person,14
provided,14
reasonable,14
regular,14
supporters,14
thinking,14
times,14
valued,14
vulnerable,14
worthy,14
customer-service,14
training-opportunities,14
absolutely,13
achieve,13
amount,13
approachable,13
awesome,13
blind,13
contribute,13
deliver,13
department,13
entry,13
frontline,13
fulfilling,13
global,13
happy,13
im,13
insurance,13
knowing,13
leaders,13
loads,13
patients,13
position,13
potential,13
program,13
sales,13
shops,13
smart,13
workforce,13
charity-sector,13
fast-paced,13
flexible-schedule,13
people-affected,13
talented-people,13
"
great",12
activities,12
appreciated,12
build,12
cross,12
difficult,12
drive,12
enjoyable,12
feels,12
generous,12
history,12
humanitarian,12
ideas,12
internal,12
issues,12
le,12
lucky,12
organizations,12
plan,12
started,12
warm,12
career-progression,12
free-lunch,12
benefit,11
current,11
diversity,11
dress,11
dynamic,11
ethic,11
helped,11
levels,11
locations,11
months,11
"people
",11
quality,11
reputation,11
save,11
serve,11
set,11
share,11
unique,11
workplace,11
worth,11
dedicated-staff,11
friendly-atmosphere,11
frontline-staff,11
genuinely-care,11
job-satisfaction,11
passionate-colleagues,11
passionate-staff,11
assistance,10
backgrounds,10
barnardos,10
bhf,10
cats,10
central,10
coming,10
compared,10
cool,10
country,10
dementia,10
direction,10
donations,10
experienced,10
exposure,10
extra,10
found,10
goals,10
healthy,10
initiative,10
inspirational,10
knowledge,10
learnt,10
living,10
network,10
ngo,10
organisations,10
oriented,10
policies,10
pro,10
programmes,10
property,10
responsibility,10
scope,10
short,10
society,10
spirit,10
stay,10
structure,10
stuff,10
taking,10
amazing-charity,10
animal-welfare,10
decent-pay,10
professional-development,10
retail-experience,10
"
flexible",9
agile,9
allowed,9
beneficiaries,9
bonus,9
choose,9
coffee,9
directly,9
energy,9
engagement,9
homeless,9
hq,9
kids,9
knowledgeable,9
laid,9
listened,9
medical,9
motivating,9
nt,9
offered,9
offers,9
options,9
outstanding,9
partially,9
personally,9
promotion,9
providing,9
quickly,9
rates,9
red,9
relationships,9
running,9
sighted,9
skill,9
skilled,9
summer,9
super,9
surrounded,9
systems,9
tasks,9
tea,9
travail,9
valuable,9
wellbeing,9
whilst,9
youll,9
benefits-package,9
forward-thinking,9
friendly-team,9
gain-experience,9
leadership-team,9
nice-colleagues,9
nice-coworkers,9
nice-office,9
partially-sighted,9
pension-scheme,9
positive-change,9
positive-impact,9
rewarding-job,9
team-spirit,9
wonderful-people,9
access,8
accessible,8
assistant,8
bank,8
base,8
breaks,8
casual,8
changing,8
charitable,8
child,8
christmas,8
crisis,8
cruk,8
dedication,8
delivery,8
discounts,8
encouraging,8
engaged,8
ethics,8
experiences,8
fellow,8
financial,8
hr,8
improving,8
items,8
la,8
means,8
modern,8
nonprofit,8
nurses,8
pets,8
promote,8
reach,8
reasons,8
respected,8
space,8
"staff
",8
stock,8
stores,8
stress,8
understand,8
wage,8
wide,8
dedicated-people,8
inspiring-people,8
line-staff,8
lovely-colleagues,8
national-trust,8
nice-atmosphere,8
office-environment,8
personal-development,8
front-line-staff,8
aim,7
allowance,7
amnesty,7
apply,7
attitude,7
bring,7
cafe,7
capacity,7
center,7
challenges,7
compassionate,7
complete,7
contact,7
creativity,7
door,7
empowering,7
engage,7
expenses,7
fairly,7
flexi,7
focussed,7
fortunate,7
god,7
honest,7
house,7
improvement,7
innovation,7
intelligent,7
interaction,7
joining,7
learned,7
live,7
major,7
membership,7
mind,7
needy,7
overtime,7
para,7
plans,7
profit,7
recent,7
recommend,7
relationship,7
safe,7
scale,7
school,7
shifts,7
significant,7
success,7
supervisor,7
teamwork,7
term,7
till,7
trabalho,7
treated,7
trusted,7
weeks,7
"work
",7
worker,7
health-insurance,7
learning-opportunity,7
management-team,7
nice-environment,7
nice-staff,7
people-flexible,7
progression-opportunities,7
relaxed-atmosphere,7
sighted-people,7
staff-benefits,7
supportive-environment,7
welcoming-environment,7
partially-sighted-people,7
actively,6
admin,6
aims,6
alongside,6
ambition,6
"balance
",6
basic,6
basis,6
beat,6
blood,6
bunch,6
"cause
",6
centre,6
church,6
class,6
clean,6
clothes,6
commercial,6
common,6
communities,6
confidence,6
confident,6
constantly,6
contributing,6
contribution,6
core,6
corporate,6
courses,6
create,6
depending,6
direct,6
director,6
directors,6
effort,6
enthusiastic,6
exec,6
executive,6
expertise,6
experts,6
feedback,6
finding,6
funds,6
growing,6
hire,6
hot,6
hugely,6
importance,6
justice,6
leading,6
leaving,6
legal,6
listening,6
looked,6
main,6
manage,6
maternity,6
matter,6
middle,6
moving,6
networking,6
officers,6
patient,6
pays,6
pdsa,6
perfect,6
pleasure,6
positions,6
professionals,6
progressive,6
properties,6
rate,6
ready,6
reason,6
refreshing,6
reliable,6
respect,6
rest,6
results,6
science,6
se,6
serving,6
setting,6
shape,6
sociable,6
speak,6
stories,6
striving,6
succeed,6
supports,6
surroundings,6
system,6
tearfund,6
terms,6
theyre,6
treat,6
wages,6
walk,6
wider,6
wv,6
you’re,6
amazing-staff,6
balance-friendly,6
bank-holidays,6
company-culture,6
dress-code,6
excellent-training,6
faith-based,6
family-oriented,6
free-entry,6
free-tea,6
friendly-coworkers,6
health-benefits,6
learning-opportunities,6
lovely-customers,6
lovely-team,6
office-friendly,6
people-friendly,6
people-living,6
positive-atmosphere,6
real-passion,6
regular-customers,6
save-lives,6
strong-brand,6
strong-leadership,6
supportive-colleagues,6
supportive-managers,6
supportive-staff,6
supportive-team,6
team-environment,6
vulnerable-children,6
"
",5
"
working",5
abuse,5
abused,5
accommodating,5
advancement,5
advocacy,5
age,5
arrangements,5
attracts,5
avec,5
board,5
british,5
buzz,5
campaigns,5
cared,5
carers,5
cash,5
childrens,5
client,5
code,5
communicate,5
conservation,5
contributes,5
"culture
",5
da,5
deaf,5
dental,5
desire,5
disadvantaged,5
donors,5
é,5
emergency,5
empowered,5
encourage,5
engaging,5
ensure,5
entitlement,5
environments,5
equality,5
ethical,5
facilities,5
fight,5
finish,5
flexibly,5
force,5
friday,5
gained,5
guess,5
havent,5
hear,5
i’m,5
improved,5
individual,5
induction,5
influence,5
investment,5
junior,5
keen,5
largest,5
listen,5
load,5
loving,5
market,5
marketing,5
matters,5
mental,5
minded,5
miss,5
month,5
morning,5
nature,5
nicest,5
normal,5
organisational,5
parking,5
parkinsons,5
parttime,5
"people
great",5
perks,5
pockets,5
practice,5
practices,5
privilege,5
profile,5
pto,5
push,5
raise,5
receive,5
recognition,5
regions,5
remain,5
remotely,5
required,5
rnib,5
run,5
season,5
"sector
",5
shelter,5
sightsavers,5
site,5
situations,5
size,5
son,5
speaking,5
spend,5
stayed,5
strategic,5
stroke,5
supervisors,5
takes,5
"team
",5
technology,5
une,5
vital,5
walks,5
wealth,5
weekends,5
wildlife,5
women,5
wont,5
workload,5
blood-cancer,5
capacity-building,5
career-development,5
casual-dress,5
christian-environment,5
christian-values,5
committed-people,5
committed-staff,5
communication-skills,5
de-travail,5
diverse-range,5
entry-level,5
environment-friendly,5
flexi-time,5
free-membership,5
friendly-culture,5
fun-environment,5
fundraising-team,5
holiday-allowance,5
holiday-entitlement,5
holiday-pay,5
huge-amount,5
international-development,5
learning-environment,5
